Busselton,0,AU,1547322957,100,-33.64,115.35,63.43,18.79
Kruisfontein,0,ZA,1547323065,90,-34.0,24.73,63.38,7.49
Stephenville,90,US,1547321700,60,32.22,-98.2,50.54,18.34
Kapaa,75,US,1547321700,62,22.08,-159.32,77.0,3.36
Taltal,0,CL,1547323072,61,-25.41,-70.49,68.51,4.92
Port Alfred,0,ZA,1547323074,90,-33.59,26.89,68.38,3.24
Morristown,90,US,1547321700,39,36.21,-83.29,50.0,6.93
Lavrentiya,8,RU,1547323079,100,65.58,-170.99,-10.96,25.84
Mount Gambier,0,AU,1547319600,93,-37.83,140.78,51.8,9.17
Bredasdorp,0,ZA,1547319600,46,-34.53,20.04,69.8,13.87
Punta Arenas,0,CL,1547319600,43,-53.16,-70.91,51.8,38.03
Albany,20,US,1547322720,31,42.65,-73.75,24.98,11.41
Jalu,0,LY,1547323090,55,29.03,21.55,51.64,15.21
Umm Kaddadah,8,SD,1547323093,78,13.6,26.69,57.22,3.47
Barrow,36,AR,1547323066,95,-38.31,-60.23,73.28,6.6
Makakilo City,75,US,1547321400,78,21.35,-158.09,75.92,4.03
Tuatapere,92,NZ,1547323099,100,-46.13,167.69,55.24,8.95
Okha,0,RU,1547323102,81,53.59,142.95,4.12,13.2
Vaini,0,IN,1547323104,86,15.34,74.49,59.47,3.02
Kavieng,48,PG,1547323106,100,-2.57,150.8,81.29,10.4
Hilo,1,US,1547319180,70,19.71,-155.08,75.02,5.82
Ribeira Grande,20,PT,1547319600,77,38.52,-28.7,60.8,21.92
Hermanus,0,ZA,1547323113,65,-34.42,19.24,60.01,9.4
Upernavik,20,GL,1547323049,100,72.79,-56.15,-5.34,11.41
Yellowknife,75,CA,1547319960,76,62.45,-114.38,-4.01,10.29
Santa Cruz,40,US,1547320800,62,36.97,-122.03,59.0,12.75
Hobart,20,AU,1547321400,81,-42.88,147.33,50.0,5.82
Sorong,64,ID,1547322978,100,-0.86,131.25,80.21,7.72
San Policarpo,48,PH,1547323127,97,12.18,125.51,77.6,11.18
Arraial do Cabo,20,BR,1547319600,74,-22.97,-42.02,87.8,14.99
Niquero,8,CU,1547323132,86,20.04,-77.58,81.43,11.97
Egvekinot,0,RU,1547323134,0,66.32,-179.17,-45.97,3.91
Bluff,0,AU,1547323136,78,-23.58,149.07,70.58,7.16
Tuktoyaktuk,75,CA,1547319600,83,69.44,-133.03,-14.81,9.17
Xiaoweizhai,92,CN,1547323140,99,26.23,107.51,38.59,3.36
Sao Joao da Barra,20,BR,1547319600,55,-21.64,-41.05,86.0,14.99
Beringovskiy,32,RU,1547323145,95,63.05,179.32,-4.84,23.6
Laurel,20,US,1547319180,61,45.67,-108.77,37.94,21.92
Jamestown,0,AU,1547323150,37,-33.21,138.6,65.32,11.97
Ushuaia,75,AR,1547319600,87,-54.81,-68.31,42.8,39.15
College,75,US,1547321880,56,64.86,-147.8,-36.05,3.36
Saint-Augustin,90,FR,1547321400,93,44.83,-0.61,42.8,4.7
Purranque,90,CL,1547319600,72,-40.91,-73.16,66.2,4.7
Manado,40,ID,1547321400,100,1.49,124.85,75.2,2.24
Ketchikan,90,US,1547319780,95,55.34,-131.65,42.98,3.36
Hamilton,90,CA,1547319780,79,43.26,-79.87,24.8,11.41
Nago,20,IT,1547320800,92,45.88,10.89,32.0,2.24
Avarua,40,CK,1547319600,83,-21.21,-159.78,82.4,4.7
Butaritari,76,KI,1547322984,100,3.07,172.79,83.32,10.4
Presidente Medici,8,BR,1547323176,70,-11.18,-61.9,83.99,3.02
Mataura,92,NZ,1547323040,89,-46.19,168.86,54.79,2.35
Lompoc,90,US,1547322300,77,34.64,-120.46,60.08,10.29
Souillac,75,FR,1547321400,100,45.6,-0.6,42.8,3.36
Saint-Francois,90,FR,1547321400,81,46.42,3.91,42.8,10.29
Barra da Estiva,0,BR,1547323187,64,-13.63,-41.33,79.13,7.16
Morondava,80,MG,1547323189,100,-20.3,44.28,77.92,4.36
Araouane,12,ML,1547323191,22,18.9,-3.53,58.61,10.63
Nome,1,US,1547321700,52,30.04,-94.42,71.06,9.17
Ossora,0,RU,1547323196,80,59.24,163.07,3.98,6.15
Rio Gallegos,40,AR,1547319600,22,-51.62,-69.22,57.2,36.91
Kaeo,0,NZ,1547323201,55,-35.1,173.78,72.38,4.36
Pacific Grove,75,US,1547320800,71,36.62,-121.92,59.0,4.36
Lebu,0,ET,1547319600,24,8.96,38.73,55.4,3.36
Cape Town,40,ZA,1547319600,63,-33.93,18.42,66.2,8.05
Victoria,75,BN,1547321400,88,5.28,115.24,80.6,2.24
Tiksi,44,RU,1547323215,40,71.64,128.87,-26.04,8.39
Margate,20,AU,1547321400,81,-43.03,147.26,50.0,5.82
Lorengau,76,PG,1547323054,99,-2.02,147.27,83.41,15.66
Natal,40,BR,1547319600,74,-5.81,-35.21,82.4,19.46
Kaitangata,92,NZ,1547322987,81,-46.28,169.85,57.31,5.93
New Norfolk,20,AU,1547321400,81,-42.78,147.06,50.0,5.82
Panalingaan,20,PH,1547323229,100,8.78,117.42,76.12,6.93
Kodiak,90,US,1547321700,92,39.95,-94.76,32.0,13.87
Ugoofaaru,32,MV,1547323234,100,5.67,73.0,81.29,6.93
Puerto Ayora,40,EC,1547319600,58,-0.74,-90.35,86.0,16.11
Guiratinga,20,BR,1547323242,88,-16.35,-53.76,80.53,0.67
Vostok,0,RU,1547323245,41,46.45,135.83,-14.07,2.13
Asyut,0,EG,1547319600,62,27.18,31.19,51.8,10.29
Yulara,0,AU,1547319600,23,-25.24,130.99,86.0,8.05
Bambous Virieux,40,MU,1547319600,74,-20.34,57.76,80.6,12.75
Tual,68,ID,1547323254,100,-5.67,132.75,82.73,11.63
Lae,8,PG,1547323256,100,-6.72,146.98,68.69,2.01
Saint-Pierre,90,FR,1547321400,93,48.95,4.24,46.4,16.11
Prosotsani,20,GR,1547319000,80,41.18,23.97,35.6,2.57
Ukiah,20,US,1547319360,82,39.15,-123.21,53.06,5.37
Carnarvon,0,ZA,1547323266,54,-30.97,22.13,63.29,12.3
Pevek,0,RU,1547323269,64,69.7,170.27,-21.58,4.47
Petropavlovsk-Kamchatskiy,88,RU,1547321400,85,53.05,158.65,32.0,6.71
Huambo,24,AO,1547323273,67,-12.78,15.73,65.0,4.59
Alakurtti,88,RU,1547323275,82,66.96,30.34,27.2,7.83
Vangaindrano,92,MG,1547323278,99,-23.35,47.6,71.3,2.35
Sitka,68,US,1547323366,89,37.17,-99.65,36.16,16.55
Benito Juarez,0,MX,1547323283,54,28.64,-111.57,72.2,7.61
Khatanga,48,RU,1547323285,47,71.98,102.47,-28.87,12.19
Tautira,90,PF,1547321400,74,-17.73,-149.15,84.2,16.11
Alofi,36,NU,1547319600,74,-19.06,-169.92,80.6,13.87
Corrales,92,CO,1547323293,96,5.83,-72.84,53.08,2.35
Cidreira,92,BR,1547323088,89,-30.17,-50.22,75.53,15.55
Constitucion,5,MX,1547318700,38,23.99,-104.67,59.0,4.36
Mut,92,TR,1547323300,81,36.64,33.44,30.58,1.9
Grand Gaube,40,MU,1547319600,74,-20.01,57.66,80.6,12.75
Rikitea,76,PF,1547323016,100,-23.12,-134.97,78.95,13.98
Hofn,92,IS,1547323307,100,64.25,-15.21,36.34,10.29
Lloret de Mar,0,ES,1547321400,100,41.7,2.85,39.2,4.7
Peniche,0,PT,1547319600,87,39.36,-9.38,50.0,2.24
Nelson Bay,0,AU,1547321400,88,-32.72,152.14,66.2,1.12
Mandera,0,ET,1547323206,31,3.94,41.86,72.29,8.5
Qaanaaq,0,GL,1547323318,100,77.48,-69.36,-23.47,8.61
